6250	2 2 1 1 1 0
3414	2 1 1 1 1 0
48	2 3 2 1 2 4 0
2513	1 4 4 3 0
6310	1 2 1 1 4 6 0
3100	1 2 3 4 2 1 0
4415	2 2 4 4 3 0
5133	1 4 4 3 0
5128	1 2 1 4 0
6526	6 3 2 2 2 0
6907	4 6 4 3 5 0
6999	1 1 2 4 4 0
2539	9 5 4 5 4 5 0
5577	1 1 1 1 2 1 0
5803	4 3 9 4 5 9 0
6119	1 2 4 2 0
6554	3 1 1 1 1 0
3448	3 8 12 4 4 0
257	2 2 3 3 5 0
3696	5 4 5 6 0
7213	2 1 1 1 0
124	3 4 3 2 0
4386	2 4 3 4 0
6466	2 2 1 1 3 0
4820	1 1 1 2 0
827	3 3 2 2 3 4 0
2931	1 2 3 3 3 4 0
5837	1 2 3 5 0
1095	2 1 1 1 2 0
211	1 1 2 4 6 5 0
3207	1 1 2 1 3 0
7198	3 3 2 1 2 0
6410	1 1 1 1 0
1205	2 1 2 3 0
2363	1 1 1 1 1 1 0
3082	2 2 1 1 3 2 0
7177	3 4 5 4 0
7238	1 3 4 3 0
6335	1 1 5 5 4 2 0
3452	1 3 4 4 0
3399	2 3 2 3 4 0
2286	2 3 4 4 3 2 0
4821	5 3 4 3 0
5858	1 2 3 3 0
5166	2 4 5 7 0
632	1 1 1 2 1 1 0
579	1 1 1 1 1 0
4147	2 3 2 1 0
2493	2 3 2 2 2 0
1381	2 2 1 1 4 2 0
107	3 4 5 7 0
5253	1 2 4 2 0
4001	2 3 1 1 1 0
6447	1 1 1 1 1 1 0
4869	3 2 5 6 5 0
5356	2 1 2 1 3 0
2674	1 1 1 1 1 1 0
460	1 1 2 2 2 2 0
3575	1 1 3 1 3 1 0
5757	2 3 2 4 0
5579	3 2 1 1 2 0
5184	2 2 3 4 6 5 0
2121	1 1 3 1 2 0
234	6 9 8 7 5 0
3247	2 4 4 4 0
3158	5 3 2 1 2 2 0
4134	7 5 4 1 1 1 0
975	3 4 1 2 5 1 0
6852	6 3 2 1 1 1 0
6565	5 3 5 3 5 4 0
712	2 1 4 3 3 4 0
5960	5 1 1 2 2 3 0
3209	3 1 1 1 2 4 0
6731	2 3 2 4 4 2 0
4894	2 3 3 4 0
6091	2 1 1 1 0
4766	3 4 4 5 6 4 0
5987	7 3 4 4 3 0
6851	4 3 2 2 2 0
7179	2 1 4 1 0
5563	7 6 7 3 5 1 0
3023	2 3 3 1 2 3 0
1398	2 2 3 3 2 1 0
3436	1 1 2 1 4 3 0
7029	7 9 8 5 5 0
3790	3 3 1 2 4 0
2100	3 2 1 1 1 0
373	3 2 2 2 1 0
2232	1 1 4 8 2 0
4905	1 2 1 1 1 2 0
4289	1 2 5 8 7 0
2215	2 3 4 1 0
831	1 5 1 3 1 5 0
4605	2 4 3 1 0
4966	6 9 6 5 0
4126	1 1 1 2 2 1 0
4690	5 1 1 1 1 0
6799	4 1 1 1 2 0
5618	3 1 1 1 4 0
4953	2 5 6 7 8 0
4121	1 3 1 1 1 1 0
6421	2 2 1 1 1 2 0
328	1 1 1 1 1 2 0
4678	5 8 4 4 0
6058	6 9 6 10 0
4367	1 2 2 1 2 0
4403	3 2 2 1 0
446	1 1 1 2 1 1 0
6248	1 2 2 1 1 0
6111	1 1 1 1 1 1 0
1542	1 1 4 2 0
2632	2 3 2 2 3 2 0
3559	2 4 4 4 6 6 0
1207	1 2 1 1 2 0
5334	4 6 8 6 6 0
6558	2 4 2 1 0
4899	1 3 2 2 0
5047	2 4 5 3 2 0
6709	1 5 1 1 4 0
179	1 2 1 2 0
3445	3 2 2 1 2 0
6031	3 1 2 2 1 1 0
645	2 3 3 5 3 0
2101	3 3 3 2 2 1 0
1630	4 3 3 4 2 1 0
3815	3 3 9 10 5 4 0
4533	2 6 5 5 4 4 0
410	2 4 4 4 2 1 0
5590	3 3 1 2 3 0
7272	3 2 2 2 4 4 0
5050	1 3 6 6 0
1989	5 3 3 2 2 1 0
4161	2 3 3 5 0
5043	1 2 3 1 0
2134	1 1 3 3 1 0
5764	5 2 5 3 4 2 0
2082	2 1 5 3 4 0
5950	1 2 2 2 2 0
1646	4 1 5 5 0
680	1 1 1 1 1 0
1466	2 3 5 5 0
1415	1 2 2 1 4 0
6508	3 4 4 6 0
4339	2 1 5 2 0
5422	1 1 4 3 1 0
205	1 1 4 2 1 1 0
1750	4 4 6 6 0
1853	2 5 4 1 1 3 0
4238	4 4 3 4 0
3441	1 4 4 4 7 4 0
5645	4 5 9 3 1 1 0
2838	8 10 3 6 3 0
319	2 2 2 2 0
2337	2 4 3 1 1 0
4528	1 3 6 5 0
4594	1 2 6 5 5 3 0
1225	1 1 2 3 3 0
97	4 5 3 4 4 6 0
414	3 3 1 1 4 8 0
1078	4 1 1 1 1 1 0
2074	1 1 5 5 3 3 0
6636	3 1 1 1 3 4 0
4035	3 4 1 1 0
3215	1 4 5 4 0
2675	1 1 1 2 0
3777	5 3 2 2 2 0
640	1 1 1 1 1 0
7135	3 3 2 2 3 3 0
1464	1 1 1 1 3 5 0
6646	1 1 2 1 2 0
7089	1 1 1 1 0
3201	2 4 4 2 4 0
1896	1 3 2 1 0
3783	2 3 2 3 6 5 0
6330	1 1 2 2 1 3 0
